CustomerAge,HousingTypeId,MonthlyGrossIncomeAmount,MonthlyNetIncomeAmount,ChildBirthYears,InternalAssets_PensionIns,InternalAssets_Funds,InternalAssets_Accounts,InternalAssets_UnpaidEquities,InternalDebts_Overdrawn,InternalDebts_UsedCredit,InternalDebts_Blanco,InternalDebts_Mortgage,InternalDebts_UnpaidEquities,InternalDebts_CreditCard,ExternalAssets_PensionIns,ExternalAssets_Funds,ExternalAssets_Accounts,ExternalAssets_Other,ExternalDebts_Mortgage,ExternalDebts_Blanco,ExternalDebts_CreditCard,ExternalDebts_Other,Advices_ordered
48,2,80000,47419,0,0,533704.64,776268.99,0,0,0,3594434,0,0,13582.35,0,0,0,0,0,0,0,0,2
41,1,28600,22119,1,535308.77,61925,36910.48,0,0,200068,2017678,0,0,11062.1,0,0,400000,0,0,0,0,0,1
74,1,30000,23130,0,0,0,79524.8,0,0,0,0,0,0,650,0,0,410000,0,0,0,0,0,1
82,1,35000,26602,0,0,0,550038.89,0,0,0,1100000,0,0,0,0,0,0,700000,0,0,0,0,1
43,2,40000,29863,0,18534.44,1650.4,5675.08,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,7
55,1,38000,28672,0,385583.61,87119.57,199315.52,0,0,0,2116250,0,0,1677.5,500000,0,0,0,0,0,0,0,1
64,2,31000,23842,0,0,0,1148380.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1,20000,15910,0,0,25013.59,278474.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,3,28400,21975,1,238234.47,9927.57,1269.33,0,0,9640.88,173110,0,0,0,0,0,0,0,0,0,0,0,7
50,1,45600,32607,1,100257.33,0,3568.27,0,4148.17,0,1181090,0,0,0,0,0,0,0,0,0,0,0,7
24,3,27000,20964,0,0,0,34347.02,0,0,0,0,0,0,0,0,847575,175715,0,0,50000,0,0,1
39,2,36900,27882,0,134368.49,15423.8,22794.2,0,0,0,1064950,13.21,0,0,0,10000,40000,0,0,33000,0,0,1
66,1,35000,26602,0,460277.35,1368446.78,51733.13,0,0,0,496515,0,0,0,0,0,250000,0,0,0,0,0,1
30,3,30000,23130,0,0,1,67397.43,0,0,168577.59,0,0,0,0,0,0,7000,0,0,0,0,65000,1
46,2,33000,25222,1,162683.5,0,66696.41,0,0,0,1300000,0,0,0,0,0,40000,0,0,0,0,80000,1
56,1,35000,26602,1,442609.96,12945.57,192539.76,0,0,0,0,0,0,0,0,0,0,1000000,500000,0,0,0,1
69,2,72000,44139,0,4013693.21,0,0,0,0,0,0,0,0,27222.06,0,1206000,0,0,0,0,0,0,7
60,1,32000,24532,0,750662.41,26343.6,21134.92,0,0,0,1343840,0,0,0,600000,0,0,0,0,350,0,0,7
59,2,50000,34763,0,713435.4,89471.25,13682.86,0,0,34964,9612570,0,0,0,0,0,0,0,0,0,0,0,8
37,3,26000,20242,0,147671.04,832.17,102.63,0,0,0,0,0,0,12119.35,0,0,0,0,0,0,0,0,7
22,3,31000,23842,0,0,0,5260.48,0,0,0,0,0,0,0,0,0,20000,0,0,345000,0,0,7
37,2,52000,35723,1,0,52015.9,603108.95,0,0,0,4280055,0,0,4987.77,0,0,0,0,0,0,0,0,1
34,1,40000,29863,1,66001.17,37129.76,91644.79,0,0,0,2455000,0,0,272.1,0,0,0,0,0,0,0,0,7
72,1,22000,17354,0,10432.58,0,22597.75,0,0,0,908025,0,0,9226.58,150,0,0,0,0,0,0,0,7
20,3,100,100,0,0,39139.47,30713.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1,1,1,0,1040906.19,1738506.01,2039294.99,0,0,0,0,0,0,6713.81,0,0,0,0,0,0,0,0,5
73,1,30000,23130,0,217692.28,1553682.56,150504.19,0,0,0,962000,0,0,0,0,0,0,50000,0,0,0,0,1
30,2,38500,28986,0,128617.98,0,17274.65,0,0,0,2066000,0,0,0,0,500000,0,0,0,0,0,0,7
25,3,42000,30843,0,0,0,1674.18,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,7
54,3,52000,35723,1,789659.04,132073.37,32819.61,0,895.14,0,714625,0,0,17092.19,0,0,0,580000,0,0,0,0,7
37,1,73000,44549,1,409291.86,44100.85,106912.35,0,0,0,6237000,0,0,0,0,1300000,100000,0,0,0,0,0,4
50,1,44000,31823,1,373211.55,25412.7,437736.9,0,0,0,3351200,0,0,0,0,0,0,0,0,0,120000,0,1
52,1,10000,8612,1,323857.18,0,26783.51,0,0,14589,0,0,0,0,0,40000,0,0,0,0,0,0,1
52,3,63000,40449,0,1003311.38,21773.04,0,0,40614.34,0,0,0,0,2403,2800000,0,0,0,0,0,0,0,7
39,2,56000,37563,1,239208.42,0,369.91,0,0,0,0,0,0,0,0,0,300000,0,4000000,0,0,0,1
44,1,44700,32115,1,356793.25,33195.14,148595.25,0,0,193793,2150355,0,0,13415.59,0,0,10000,0,0,0,0,0,1
51,1,56000,37563,1,73942.99,554805.8,77963.25,0,0,0,0,0,0,1627.87,0,0,0,0,1300000,0,0,0,3
66,1,70000,43319,0,165982.52,10084.24,418261.79,0,0,0,1902180,0,0,0,3000000,0,0,0,0,0,0,0,1
34,2,41500,30547,1,0,15469.13,307127.78,0,0,0,3986666,0,0,0,0,35000,0,0,0,0,0,200000,2
72,2,15000,12300,0,0,1693321.11,46856.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2,48800,34175,1,604978.33,254244.7,111518.29,0,0,0,817000,0,0,109,0,0,0,0,0,0,0,0,1
81,1,248700,119376,0,0,0,145497.26,0,0,0,75000,0,0,0,0,0,0,0,0,0,0,0,7
75,2,360000,169200,0,17091.87,167798.76,24663.69,0,0,0,518600,0,0,903.12,0,0,260000,0,0,0,0,0,1
51,1,38000,28672,0,710501.36,229397.53,547233.45,0,0,0,1669737,0,0,0,0,0,0,0,0,0,0,0,1
62,1,86000,49880,0,6055937.14,795749.19,34526.15,0,0,0,7475600,0,0,0,220000,0,220000,0,0,0,0,0,2
65,1,32000,24532,0,585821.69,3879062.88,298610.92,64423.87,0,0,0,0,0,7168.79,0,0,0,0,0,0,0,0,1
39,2,42000,30843,1,258436.76,607656.58,11054,0,0,0,3354000,0,0,25722.84,0,0,80000,0,0,0,0,0,1
50,3,22500,17687,0,0,250.14,212982.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,1
52,2,39000,29362,0,531134.67,404611.42,40443.44,0,0,0,1200000,0,0,0,0,42000,0,0,0,0,0,0,3
55,3,35000,26602,0,195834.41,4138.48,1012.11,0,2221.99,82039.42,0,0,0,27043.46,0,0,0,0,0,86500,16000,0,7
52,1,45000,32313,0,127927.31,0,43110.03,0,0,295276.65,0,0,0,752,0,0,0,0,0,0,0,0,7
41,2,82700,48793,1,0,0,227583.83,0,0,0,0,0,0,-355.78,0,0,0,0,4900000,419000,10000,170000,5
71,1,35000,26602,0,631571.91,1427520,5092.14,0,0,0,0,0,0,5008.1,0,0,1000000,0,0,0,0,0,1
67,2,40000,29863,0,0,22611.67,30230.76,0,0,0,1060000,0,0,0,0,0,68000,0,0,0,0,0,1
60,2,55000,37103,1,430861.96,17363.8,4681.81,0,0,18511,571790,0,0,14139.53,0,0,0,0,0,0,0,0,7
75,2,30000,23130,0,17091.87,167798.76,24663.69,0,0,0,518600,0,0,903.12,0,0,260000,0,0,0,0,0,1
46,3,26000,20242,0,0,0,2330.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
55,1,54500,36819,1,104473.6,195878.66,121890.54,0,0,0,2061172,0,0,7413.53,0,0,0,0,0,0,0,0,1
26,1,33000,25222,0,176465.72,141263.1,263208.35,0,0,0,2256750,0,0,0,0,0,50000,0,0,0,0,0,1
47,3,50000,34763,0,330575.15,906515,174012.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,1,250000,120000,1,762016.34,1833245.26,2555507.96,0,0,0,6682765,0,0,0,7000000,2200000,0,0,0,0,0,0,1
53,1,85000,49300,1,487196.33,2658031.03,2369634.3,0,0,0,1767835,0,0,31153.14,3000000,0,0,0,0,0,0,0,1
63,1,19000,15188,1,0,7004339.84,101205.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,45000,32313,1,331865.09,2448.11,18269.88,0,0,0,2100000,0,0,39409.49,0,0,0,0,0,0,0,0,7
58,2,31500,24156,0,0,0,50649,0,0,0,2300000,0,0,-0.17,0,0,0,0,0,0,0,0,2
38,2,26000,20242,1,0,0,162.43,0,0,0,0,0,0,0,0,0,0,0,1343500,0,0,350000,7
50,1,39000,29362,1,792295.01,105767.06,210191,0,0,0,1540505,0,0,0,0,0,0,0,0,0,0,0,1
48,1,45000,32313,0,0,39950.57,45610.14,0,0,0,2761200,0,0,0,0,0,1000000,0,0,0,0,0,1
45,1,34000,25912,0,563685.54,92880.78,99100.77,0,0,0,216010,0,0,0,0,0,500000,0,0,0,0,0,1
47,2,35000,26602,1,383704.2,1155280.77,618787.19,0,0,0,1323220,0,0,0,0,0,0,0,0,0,0,0,1
50,1,70000,43319,1,0,0,6256.03,0,24261.52,0,0,0,0,0,0,0,0,0,2100000,0,0,0,7
63,1,58000,38399,0,714459,4970951.69,20000,0,0,0,0,0,0,2166,0,1000000,900000,0,1000000,0,0,0,1
29,2,42009,30750,0,587838.38,190729.7,7979.4,0,0,0,0,0,0,0,0,0,440000,0,8948320,0,0,0,2
30,1,39000,29362,1,130324.67,925.4,113422.76,0,0,0,2586500,0,0,0,0,0,20000,0,0,0,0,0,3
53,2,40900,30253,0,215662.88,86093.74,34899.54,0,0,0,1845000,0,0,7428.7,0,0,0,0,0,0,0,0,9
59,1,33000,25222,1,84067.57,67147.35,121018.31,0,0,0,1242875,0,0,0,0,0,0,0,0,154701,0,0,3
30,1,28000,21686,1,1716.33,0,17542.29,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,7
56,1,33000,25222,0,421451.61,1155419.39,232270.81,0,0,0,569733,0,0,0,0,0,0,0,0,0,0,0,1
48,1,40000,29863,1,309493.17,181679.03,111910.66,0,0,0,1364000,0,0,8521.77,275000,0,0,0,0,209000,0,0,1
59,1,40000,29863,1,0,799.48,487135.65,0,0,0,2211930,0,0,0,0,0,0,0,0,0,0,0,1
26,3,31500,24156,0,0,0,190.49,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,400000,3
24,3,10000,8612,0,0,58264.6,11776.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
74,1,60000,39219,0,5961978.81,11741566.4,6890462.2,0,86665.12,0,1983455,0,0,1369.67,0,6000000,0,0,0,0,0,0,1
